"","Firm_id","Firm","Year","Firm_value","Count","Green_inn","Location","Age","Sales","Sales_growth","Total_assets","Total_debt","Leverage","Tshare_equity","ROA","ROE","Size"
"202","CUV-AU","CUV",2013,87.508523,5,1.7918,"AU",26,1232.797762,114.858307,11136.722557,0,0,9745.581406,-42.771509,-49.517164,9.31800326525735
"203","CUV-AU","CUV",2014,89.93891,5,1.7918,"AU",27,1489.24588,41.667408,11825.143523,0,0,10635.405131,-33.522378,-37.761881,9.37798335053806
"204","CUV-AU","CUV",2015,82.126896,6,1.9459,"AU",28,2027.235826,32.33778,9411.848641,0,0,7729.659123,-67.631433,-78.206488,9.14972466822623
"205","CUV-AU","CUV",2016,88.370255,7,2.0794,"AU",29,4074.492258,113.334221,13497.415356,0,0,11927.700435,-18.478402,-21.524382,9.51025349098554
"206","CUV-AU","CUV",2017,88.741619,7,2.0794,"AU",30,11567.533366,169.187424,19238.937357,0,0,17072.944489,29.462685,33.258026,9.86469149176926
"207","CUV-AU","CUV",2018,91.868873,13,2.6391,"AU",31,16561.318013,52.424976,27150.935969,0,0,24943.258819,36.984737,40.813955,10.2091667987642
"208","CUV-AU","CUV",2019,91.714671,12,2.5649,"AU",32,19464.16406,21.824421,38418.394367,266.525751,0.693745,35235.304112,34.459215,37.546461,10.5562916438563
"209","EVT-DE","EVT",2006,66.746786,60,4.1109,"DE",13,67.354,-15.580631,205.526,11.906,5.792941,137.182,-18.535532,-25.395048,5.32557254661449
"210","EVT-DE","EVT",2007,82.044757,74,4.3175,"DE",14,32.885,-51.175877,207.878,11.661,5.60954,170.553,-23.247477,-31.230117,5.3369513691588
"211","EVT-DE","EVT",2008,74.705011,74,4.3175,"DE",15,39.613,20.459177,200.601,11.328,5.647031,149.859,-38.330979,-48.866459,5.30131786056028
"212","EVT-DE","EVT",2009,75.630802,35,3.5835,"DE",16,42.683,7.74998,146.599,13.205,9.007565,110.874,-26.222926,-34.919247,4.98770096814688
"213","EVT-DE","EVT",2010,68.884441,33,3.5264,"DE",17,55.262,29.470757,191.859,11.997,6.25303,132.161,1.926384,2.682741,5.25676072724237
"214","EVT-DE","EVT",2011,67.477648,42,3.7612,"DE",18,80.128,44.996555,218.213,15.566,7.133397,147.245,3.291617,4.830963,5.38547164999272
"215","EVT-DE","EVT",2012,67.670244,50,3.9318,"DE",19,87.265,8.907,225.427,17.402,7.719572,152.547,1.117122,1.653146,5.41799638147703
"216","EVT-DE","EVT",2013,69.912481,60,4.1109,"DE",20,85.938,-1.520651,227.38,17.241,7.582461,158.967,-11.233484,-16.32864,5.42662262670096
"217","EVT-DE","EVT",2014,67.084152,82,4.4188,"DE",21,89.496,4.140193,236.096,21.549,9.127219,158.383,-3.011159,-4.397668,5.46423850197421
"218","EVT-DE","EVT",2015,62.009487,66,4.2047,"DE",22,127.677,42.662243,299.151,22.943,7.669371,185.502,6.171356,9.605537,5.70094846263507
"219","EVT-DE","EVT",2016,58.811107,70,4.2627,"DE",23,164.507,28.846231,362.236,28.827,7.958072,213.035,8.324929,13.81553,5.89229593311097
"220","EVT-DE","EVT",2017,48.463265,67,4.2195,"DE",24,257.63,56.607319,682.486,189.928,27.828849,330.755,4.643723,8.921459,6.52574201402821
"221","EVT-DE","EVT",2018,53.984846,57,4.0604,"DE",25,375.405,45.714783,785.413,114.465,14.573861,424.004,11.468364,22.304338,6.6662096940823
"222","EVT-DE","EVT",2019,38.80594,69,4.2485,"DE",26,446.437,18.921434,1229.268,463.099,37.672745,477.029,3.779457,8.450745,7.11417414925989
"223","GLPG-NL","GLPG",2006,65.341255,5,1.7918,"NL",7,35.152,212.740219,167.646,7.767,4.632977,109.542,-9.096782,-13.282321,5.12185461339706
"224","GLPG-NL","GLPG",2007,66.314784,5,1.7918,"NL",8,65.936,87.573959,148.724,4.368,2.936984,98.626,-13.874893,-21.086814,5.00209223923224
"225","GLPG-NL","GLPG",2008,70.965462,10,2.3979,"NL",9,76.978,16.746542,118.824,1.686,1.418905,84.324,-10.901969,-15.943154,4.77764340672723
"226","GLPG-NL","GLPG",2009,75.76213,23,3.1781,"NL",10,93.089,20.929356,143.709,1.484,1.032642,108.877,2.293045,3.115926,4.96779042160394
"227","GLPG-NL","GLPG",2010,76.564876,21,3.091,"NL",11,122.41,31.49782,193.961,1.245,0.641882,148.506,2.588326,3.395718,5.26765710792607
"228","GLPG-NL","GLPG",2011,73.500357,46,3.8501,"NL",12,95.887,-21.667351,161.055,0.876,0.543914,118.376,-18.645357,-24.802722,5.08174592155421
"229","GLPG-NL","GLPG",2012,50.332513,31,3.4657,"NL",13,136.268,42.113117,235.329,0.405,0.172099,118.447,-2.886595,-4.831456,5.46098453505787
"230","GLPG-NL","GLPG",2013,58.160098,26,3.2958,"NL",14,137.699,1.050136,287.374,0.393,0.136756,167.137,-3.091239,-5.65788,5.66078450330348
"231","GLPG-NL","GLPG",2014,76.214473,51,3.9512,"NL",15,69.368,-49.623463,270.467,0.167,0.061745,206.135,-13.374062,-19.987034,5.60015009454124
"232","GLPG-NL","GLPG",2015,82.48304,48,3.8918,"NL",16,39.563,-42.966496,442.514,0.115,0.025988,364.999,-33.215471,-41.464875,6.09247210236558
"233","GLPG-NL","GLPG",2016,70.033637,49,3.912,"NL",17,129.519,227.374069,1083.338,0.063,0.005815,758.701,7.079586,9.613242,6.9878022943387
"234","GLPG-NL","GLPG",2017,78.675539,84,4.4427,"NL",18,127.087,-1.877716,1286.274,0.009,7e-04,1011.983,-9.765649,-13.068848,7.15950494586631
